Date,i,pi,UNRATE,YLVL,SPREAD,r_real,y_log,x_gap_proxy,x_gap_est,rn_est
2015-05-01,0.08,0.03502708304532476,5.4,18782.243,2.1100000000000003,0.04497291695467524,9.84066718120015,0.09095921285399022,-0.6653096823185648,-0.532137218648685
2015-06-01,0.08,0.17941077233718516,5.4,18782.243,2.3400000000000003,-0.09941077233718516,9.84066718120015,0.09014707702493752,-0.663066208945683,-0.5150112124463442
2015-07-01,0.08,0.22543182246153037,5.4,18857.418,2.12,-0.14543182246153036,9.84466164331584,0.09330842817478135,-0.660423052142474,-0.5023901506773965
2015-08-01,0.08,0.24101312842326195,5.4,18857.418,2.13,-0.16101312842326193,9.84466164331584,0.09248993319079268,-0.6593744519475992,-0.4934702804369934
2015-09-01,0.07,0.008842570667333405,5.4,18857.418,2.07,0.0611574293326666,9.84466164331584,0.09168567290217844,-0.6584012619892958,-0.48788790187224873
2015-10-01,0.07,0.12753519995021279,5.4,18892.206,2.08,-0.05753519995021278,9.846504735042945,0.09272248217558143,-0.6573183107657568,-0.4879986135956464
2015-11-01,0.08,0.43536910873953616,5.1,18892.206,1.99,-0.35536910873953614,9.846504735042945,0.09192998232792604,-0.5180021000569311,-0.49556754531955655
2015-12-01,0.2,0.6366935496003201,5.1,18892.206,2.11,-0.4366935496003201,9.846504735042945,0.09115091468108005,-0.5054946635056768,-0.5058740234318727
2016-01-01,0.29,1.2299080308038057,5.1,19001.69,1.6199999999999999,-0.9399080308038057,9.852283201561416,0.09611484858442942,-0.5053525480786755,-0.5180798681809987
2016-02-01,0.29,0.8437083293303616,5.1,19001.69,1.41,-0.5537083293303615,9.852283201561416,0.09531389151289105,-0.4980029242914557,-0.5270264786486768
2016-03-01,0.25,0.8876646705649804,5.1,19001.69,1.57,-0.6376646705649804,9.852283201561416,0.09406334571151298,-0.5054102978996458,-0.536941172908771
2016-04-01,0.3,1.1658037736477667,5.1,19062.709,1.61,-0.8658037736477666,9.85548929722409,0.09601371299019767,-0.4980956630500789,-0.5473727416869983
2016-05-01,0.29,1.0727023823578818,4.8,19062.709,1.5,-0.7827023823578818,9.85548929722409,0.09475798460620588,-0.3575808145164427,-0.5590431424247082
2016-06-01,0.3,1.0735038085898374,4.8,19062.709,1.23,-0.7735038085898374,9.85548929722409,0.09350225622221409,-0.35373893625072095,-0.5713469099114162
2016-07-01,0.3,0.8646147538590832,4.8,19197.938,1.19,-0.5646147538590831,9.862558156415194,0.0992689668364033,-0.3535340619885566,-0.5846129952954213
